id,username,email,password,premium,isadmin
1,daldine0,ssyratt0@slate.com,kmiWr87GP,true,false
2,cbritner1,bledner1@blog.com,cE7aOsfTOm,false,false
3,dmurison2,mdurbridge2@soup.io,xADSH9Uyx9,false,false
4,cdurbyn3,cotowey3@wp.com,mtFmuQe,false,false
5,fashbridge4,hfordy4@weather.com,tW6tfI9VzHY2,true,false
6,twillshaw5,whenryson5@facebook.com,oRGw5qct9,true,false
7,rgynni6,dcunnah6@guardian.co.uk,n2UYRHs,false,false
8,sdowrey7,fhaensel7@google.nl,GWgB0Le,true,false
9,fphorsby8,epeevor8@wordpress.org,IzcZPV8,false,false
10,kdaskiewicz9,uabbie9@hugedomains.com,NdKCM9fCsZHF,true,false
11,nshellidaya,gmaccooka@so-net.ne.jp,NLpfEG8Gsqv,false,false
12,brickettsb,mstilgob@timesonline.co.uk,2769lUy,true,false
13,bgommec,mransfieldc@mtv.com,7dvBVaSg3t,false,false
14,mpaolonid,lbrackend@cam.ac.uk,WSuLBNuKqpj,false,false
15,mansteyse,vladleye@opensource.org,6rQGzRHocO6x,true,false
16,erhodusf,kcissellf@ucoz.com,d59D74dTCPLw,false,false
17,vtawseg,kwileg@upenn.edu,BleBUWmdA,true,false
18,bbrassillh,fskyppeh@wordpress.com,ZEHYarSZLv,true,false
19,dpearseyi,kgeikiei@xinhuanet.com,llYCoyvu9uYr,false,false
20,hspainj,atortj@shop-pro.jp,7m4hXt0Y,true,false
21,lhuggettk,dtoupek@goo.gl,GFfTlzobV,true,false
22,eokroyl,melstonl@opera.com,oHLeUUFqDdA,true,false
23,rlegrysm,wthornm@ycombinator.com,aUJynnk,false,false
24,gtrunksn,ajuszczakn@mapquest.com,2u6IvrCS,true,false
25,lskymo,khoweno@alexa.com,S9hqcWz12X,false,false
26,wteecep,dcoppop@plala.or.jp,EtkCcD,false,false
27,rscowenq,sbenitoq@devhub.com,rtRpgmkjEKcb,true,false
28,jballinr,rpowlingr@mail.ru,fdt8N8Xr,true,false
29,mfryetts,plammimans@baidu.com,CvzaUeIk1KA,true,false
30,goscullyt,lnenot@amazonaws.com,uXAxV4C,false,false
31,rdenfordu,gmaffucciu@newyorker.com,HifiNpOwj,true,false
32,bsalanv,trecordv@wikipedia.org,baIfQKf6XNm,false,false
33,vcolegrovew,eoslerw@wordpress.com,dLAHp3,false,false
34,eliepinax,mjellettx@mayoclinic.com,L9XigYwrvtn,false,false
35,tpuviay,amcevoyy@twitter.com,XGPKemt,false,false
36,cyersonz,lriccionez@mit.edu,WDrOL5q,true,false
37,mcoule10,dderisly10@microsoft.com,M9Z7M0Ey,true,false
38,adagnan11,llowensohn11@tiny.cc,fbfIGd,false,false
39,wantao12,wvedmore12@bloglines.com,cabgf5cqBQzy,true,false
40,dmclugaish13,eshilladay13@lycos.com,cBzAHMWEGV,true,false
41,dvanderhoog14,cosherin14@mayoclinic.com,pSGz0a8x9qt,true,false
42,rwickwar15,lkief15@booking.com,pp7c8a5Vn,true,false
43,spykett16,ctoth16@soup.io,DwphmDuq,false,false
44,asandwith17,mdunabie17@360.cn,ds7u5ry,false,false
45,ohaylands18,nshearwood18@slate.com,6MeEyY,false,false
46,aharwin19,vbendle19@hp.com,09RMrhiqBO0,false,false
47,gsarrell1a,zstranger1a@google.ru,VH7oNKjCva,true,false
48,mdillingstone1b,cstrang1b@plala.or.jp,7aZNkA,true,false
49,droncelli1c,akissick1c@cornell.edu,F1o0hJV6Tt3,true,false
50,fsamwaye1d,drodge1d@noaa.gov,BxYtUNiYmCyP,true,false
